,Age,Sex,Pclass,Survived,PSurvived
600,44.0,male,3,0,0.21957454
601,35.0,male,1,1,0.38546172
602,36.0,male,3,0,0.22399478
603,30.0,male,3,0,0.22974612
604,27.0,male,1,1,0.38158813
605,22.0,female,2,1,0.39086357
606,40.0,female,1,1,0.42544052
607,39.0,female,3,0,0.3263865
608,21.0,male,3,0,0.23856588
609,18.0,female,3,1,0.32462367
610,22.0,male,3,0,0.23757453
611,35.0,male,3,0,0.22494617
612,24.0,female,2,1,0.3904865
613,34.0,male,3,0,0.22590044
614,26.0,female,3,0,0.32765815
615,4.0,female,2,1,0.39426255
616,26.0,male,2,0,0.38609657
617,27.0,male,3,0,0.2326604
618,42.0,male,1,1,0.38886312
619,20.0,male,3,1,0.23956005
620,21.0,male,3,0,0.23856588
621,21.0,male,3,0,0.23856588
622,61.0,male,1,0,0.38856328
623,57.0,male,2,0,0.38029432
624,21.0,female,1,1,0.41393384
625,26.0,male,3,0,0.2336375
626,18.0,male,3,0,0.24155694
627,80.0,male,1,1,0.38564467
628,51.0,male,3,0,0.21810186
629,32.0,male,1,1,0.38400742
630,30.0,male,1,0,0.38303897
631,9.0,female,3,0,0.32087904
632,28.0,female,2,1,0.3897329
633,32.0,male,3,0,0.22781757
634,31.0,male,2,0,0.38515845
635,41.0,female,3,0,0.32584557
636,37.0,male,3,0,0.22304626
637,20.0,male,3,0,0.23956005
638,24.0,female,1,1,0.4157448
639,2.0,female,3,0,0.31798238
640,32.0,male,3,1,0.22781757
641,0.75,female,3,1,0.3174666
642,48.0,male,1,1,0.3905648
643,19.0,male,3,0,0.24055707
644,56.0,male,1,1,0.38933265
645,21.0,male,3,0,0.23856588
646,23.0,female,3,1,0.3266908
647,23.0,male,3,0,0.236586
648,18.0,female,2,1,0.39161798
649,21.0,male,3,0,0.23856588
650,16.0,female,3,1,0.32378957
651,18.0,female,3,0,0.32462367
652,24.0,male,2,0,0.38647202
653,27.0,male,3,0,0.2326604
654,32.0,female,3,0,0.32828334
655,23.0,male,2,0,0.38665977
656,58.0,male,1,0,0.38902482
